City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
175,Skibotn,NO,69.3913,20.2679,38.52,99,100,9.82,overcast clouds
176,Alghero,IT,40.5589,8.3181,66.29,72,0,2.3,clear sky
177,Adre,TD,13.4667,22.2,87.85,17,20,15.9,few clouds
178,Ranau,MY,5.9538,116.6641,79.11,79,96,2.95,overcast clouds
179,Inta,RU,66.0317,60.1659,25.03,80,87,5.44,overcast clouds
180,Thomaston,US,32.8882,-84.3266,55.09,77,56,1.99,broken clouds
181,Songea,TZ,-10.6833,35.65,79.95,47,20,9.22,few clouds
182,Gayny,RU,60.3071,54.3241,35.51,83,100,9.91,overcast clouds
183,Timra,SE,62.487,17.3257,56.68,100,75,8.05,broken clouds
184,Berlevag,NO,70.8578,29.0864,37.4,87,100,8.05,light rain
185,Cidreira,BR,-30.1811,-50.2056,65.64,93,22,10.69,few clouds
186,Conde,BR,-7.2597,-34.9075,74.66,94,75,5.75,broken clouds
187,Kirakira,SB,-10.4544,161.9205,80.1,80,28,2.95,scattered clouds
188,Egvekinot,RU,66.3167,-179.1667,8.67,72,100,12.08,overcast clouds
189,Khatanga,RU,71.9667,102.5,3.31,91,100,3.47,overcast clouds
190,Ciudad Bolivar,VE,8.1222,-63.5497,76.3,91,99,4.65,overcast clouds
191,Leeton,AU,-34.5667,146.4,61.9,60,55,6.78,broken clouds
192,Teguldet,RU,57.3064,88.1667,29.19,90,100,11.1,light snow
193,Umm Lajj,SA,25.0213,37.2685,84.7,43,5,8.08,clear sky
194,Kalmunai,LK,7.4167,81.8167,84.65,65,95,8.16,overcast clouds
195,Monrovia,LR,6.3005,-10.7969,80.94,76,7,3.38,light rain
196,Bireun,ID,5.203,96.7009,83.59,71,76,6.35,broken clouds
197,Padang,ID,-0.9492,100.3543,84.25,83,97,2.93,light rain
198,Sola,VU,-13.8833,167.55,79.92,76,8,0.49,clear sky
199,Muros,ES,42.7762,-9.0603,64.69,89,99,14.45,overcast clouds
200,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,21.85,broken clouds
201,Dikson,RU,73.5069,80.5464,19.71,95,100,7.38,light snow
202,Kastamonu,TR,41.5,33.6667,52.36,48,24,4.7,few clouds
203,Tsaratanana,MG,-16.7833,47.65,87.71,49,77,5.46,light rain
204,Qinhuangdao,CN,39.9317,119.5883,51.35,60,100,4.94,overcast clouds
205,Atar,MR,20.5169,-13.0499,86.41,9,39,18.81,scattered clouds
206,Coos Bay,US,43.3665,-124.2179,55.92,100,100,4.61,overcast clouds
207,Saint George,US,37.1041,-113.5841,48.79,35,100,3.67,overcast clouds
208,Bundaberg,AU,-24.85,152.35,75.22,71,8,6.85,clear sky
209,Chuy,UY,-33.6971,-53.4616,58.28,83,68,6.33,broken clouds
210,Huanren,CN,41.2647,125.3667,44.11,52,3,1.1,clear sky
211,Bubaque,GW,11.2833,-15.8333,82.15,77,74,7.18,broken clouds
212,Tingi,TZ,-11.3,35.0333,85.5,28,58,6.11,broken clouds
213,Katsuura,JP,35.1333,140.3,63.43,62,14,16.73,few clouds
214,Mandalgovi,MN,45.7625,106.2708,45.79,56,47,9.78,scattered clouds
215,Broken Hill,AU,-31.95,141.4333,70.97,38,75,9.08,broken clouds
216,Bethel,US,41.3712,-73.414,41.63,86,67,2.64,broken clouds
217,Kiboga,UG,0.9161,31.7742,77.54,64,100,4.63,light rain
218,Bud,US,39.447,-86.1758,46.94,73,0,5.91,clear sky
219,Uvalde,US,29.3669,-99.767,54.59,87,0,3.44,clear sky
220,Nikolayevka,RU,53.1257,47.2041,39.29,78,100,7.7,overcast clouds
221,Iskateley,RU,67.6803,53.1512,25.36,94,63,15.61,broken clouds
222,Russell,US,32.3502,-85.1999,57.38,78,53,7.87,broken clouds
223,Vanavara,RU,60.34,102.2797,27.14,71,78,9.33,broken clouds
224,Kasongo-Lunda,CD,-6.4667,16.8167,84.18,61,96,2.06,overcast clouds
225,Rancho Palos Verdes,US,33.7445,-118.387,62.28,79,0,1.01,clear sky
226,Teixeira,BR,-7.2228,-37.2542,68.36,66,75,7.54,broken clouds
227,Saurimo,AO,-9.6608,20.3916,73.72,78,75,5.75,broken clouds
228,Le Vauclin,MQ,14.5452,-60.8388,77.05,94,75,5.75,broken clouds
229,Boyolangu,ID,-8.1181,111.8935,78.3,75,100,10.09,overcast clouds
230,Mackay,AU,-21.15,149.2,80.69,72,0,4.74,clear sky
231,Popondetta,PG,-8.7537,148.2534,77.22,80,99,1.81,overcast clouds
232,Nassau,US,40.7507,-73.5829,47.7,86,75,4.61,broken clouds
233,Carbonia,IT,39.1672,8.5222,59.65,41,0,3.15,clear sky
234,Bogorodskoye,RU,56.55,37.8833,45.57,95,100,9.22,moderate rain
235,Constantine,DZ,36.365,6.6147,62.01,33,0,2.3,clear sky
236,Atasu,KZ,48.6814,71.6433,39.34,42,100,11.23,overcast clouds
237,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.53,86,90,9.6,overcast clouds
238,Terdal,IN,16.5,75.05,82.74,43,2,7.96,clear sky
239,Belaya Gora,RU,68.5333,146.4167,-2.06,98,95,4.7,overcast clouds
240,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,74.17,89,99,1.74,overcast clouds
241,Mecca,SA,21.4267,39.8261,91.96,36,0,7.7,clear sky
242,Maniitsoq,GL,65.4167,-52.9,32.18,81,100,20.2,light snow
243,Omboue,GA,-1.5746,9.2618,74.84,86,100,3.42,overcast clouds
244,Novikovo,RU,51.1537,37.8879,51.53,76,100,11.63,overcast clouds
245,Kodiak,US,57.79,-152.4072,35.24,97,100,30.89,snow
246,Sinnamary,GF,5.3833,-52.95,77.09,91,55,8.79,light rain
247,Osoyoos,CA,49.0331,-119.4524,40.32,86,98,1.63,overcast clouds
248,Paka,MY,4.6374,103.4368,80.33,82,100,11.01,overcast clouds
249,Salalah,OM,17.0151,54.0924,83.77,51,0,9.08,clear sky
250,Castro,BR,-24.7911,-50.0119,61.36,92,65,3.98,broken clouds
251,Labuhan,ID,-6.8844,112.2051,85.44,58,83,5.21,broken clouds
252,Shishou,CN,29.7226,112.419,66.58,59,92,10.6,overcast clouds
253,Yumen,CN,40.2833,97.2,56.52,24,96,3.8,overcast clouds
254,Vardo,NO,70.3705,31.1107,35.58,93,75,17.27,broken clouds
255,Puerto Suarez,BO,-18.95,-57.8,76.42,74,100,2.84,overcast clouds
256,Hamilton,US,39.1834,-84.5333,46.67,76,0,3.22,clear sky
257,Kollam,IN,8.8833,76.6,83.86,65,83,9.53,broken clouds
258,Havoysund,NO,70.9963,24.6622,39.43,83,100,18.72,overcast clouds
259,Surt,LY,31.2089,16.5887,74.03,56,3,10.25,clear sky
260,Muroto,JP,33.2833,134.15,66.07,59,3,14.58,clear sky
261,Soyo,AO,-6.1349,12.3689,81.19,75,88,4.0,overcast clouds
262,Saldanha,ZA,-33.0117,17.9442,67.15,68,100,10.65,overcast clouds
263,Codrington,AU,-38.2667,141.9667,50.18,86,8,10.31,clear sky
264,Tomsk,RU,58.5,82.5,30.78,76,99,10.04,overcast clouds
265,Plettenberg Bay,ZA,-34.0527,23.3716,73.02,51,100,6.31,overcast clouds
266,Nelson Bay,AU,-32.7167,152.15,71.65,49,0,18.01,clear sky
267,Roebourne,AU,-20.7833,117.1333,79.79,39,0,26.17,clear sky
268,Mayna,RU,54.1135,47.6231,38.7,72,80,9.64,broken clouds
269,Barabinsk,RU,55.3571,78.357,29.52,83,97,7.81,overcast clouds
270,Lumut,MY,4.2323,100.6298,83.23,74,100,5.84,heavy intensity rain
271,Santa Maria,BR,-29.6842,-53.8069,61.02,74,0,4.68,clear sky
272,Husavik,IS,66.0449,-17.3389,32.9,71,34,10.51,scattered clouds
273,Ailigandi,PA,9.2333,-78.0167,76.5,85,21,3.42,few clouds
274,Fort Nelson,CA,58.8053,-122.7002,23.95,93,98,1.01,overcast clouds
275,Kudahuvadhoo,MV,2.6708,72.8944,80.71,76,95,10.47,overcast clouds
276,Hearst,CA,49.6835,-83.6665,43.3,76,82,12.91,broken clouds
277,Phuket,TH,8.0,98.25,88.02,74,20,4.61,few clouds
278,Kavieng,PG,-2.5744,150.7967,83.12,76,69,10.0,broken clouds
279,Santiago,CL,-33.4569,-70.6483,60.85,62,0,0.0,clear sky
